ID,Province,Zone_agro_ecologique,Annee_campagne,Annee_debut,Categorie,Culture,Superficie_ha,Production_t,Rendement_kg_ha,wVHI_moyen_saison,wVHI_min_saison,Temp_moy_C,Precip_totale_mm,Humidite_rel_moy_pct
Barh_El_Ghazal_2016_Arachide,Barh El Ghazal,Sahélienne,2016/2017,2016,Autres cultures,Arachide,0.0,0.0,,0.6805,0.612,29.129890410958904,636.93,40.08619178082191
Barh_El_Ghazal_2016_Manioc,Barh El Ghazal,Sahélienne,2016/2017,2016,Autres cultures,Manioc,0.0,0.0,,0.6805,0.612,29.129890410958904,636.93,40.08619178082191
Barh_El_Ghazal_2016_Niébé,Barh El Ghazal,Sahélienne,2016/2017,2016,Autres cultures,Niébé,95.0,33.25,350.0,0.6805,0.612,29.129890410958904,636.93,40.08619178082191
Barh_El_Ghazal_2016_Patate_douce,Barh El Ghazal,Sahélienne,2016/2017,2016,Autres cultures,Patate douce,0.0,0.0,,0.6805,0.612,29.129890410958904,636.93,40.08619178082191
Barh_El_Ghazal_2016_Pois_de_terre,Barh El Ghazal,Sahélienne,2016/2017,2016,Autres cultures,Pois de terre,0.0,0.0,,0.6805,0.612,29.129890410958904,636.93,40.08619178082191
Barh_El_Ghazal_2016_Sésame,Barh El Ghazal,Sahélienne,2016/2017,2016,Autres cultures,Sésame,0.0,0.0,,0.6805,0.612,29.129890410958904,636.93,40.08619178082191
Barh_El_Ghazal_2016_Taro,Barh El Ghazal,Sahélienne,2016/2017,2016,Autres cultures,Taro,0.0,0.0,,0.6805,0.612,29.129890410958904,636.93,40.08619178082191
Barh_El_Ghazal_2016_Berbéré,Barh El Ghazal,Sahélienne,2016/2017,2016,Céréales,Berbéré,0.0,0.0,,0.6805,0.612,29.129890410958904,636.93,40.08619178082191
Barh_El_Ghazal_2016_Blé,Barh El Ghazal,Sahélienne,2016/2017,2016,Céréales,Blé,0.0,0.0,,0.6805,0.612,29.129890410958904,636.93,40.08619178082191
Barh_El_Ghazal_2016_Maïs,Barh El Ghazal,Sahélienne,2016/2017,2016,Céréales,Maïs,2175.0,1375.731,632.52,0.6805,0.612,29.129890410958904,636.93,40.08619178082191
Barh_El_Ghazal_2016_Mil,Barh El Ghazal,Sahélienne,2016/2017,2016,Céréales,Mil,31716.820000000003,12754.919163000002,402.15,0.6805,0.612,29.129890410958904,636.93,40.08619178082191
Barh_El_Ghazal_2016_Riz,Barh El Ghazal,Sahélienne,2016/2017,2016,Céréales,Riz,0.0,0.0,,0.6805,0.612,29.129890410958904,636.93,40.08619178082191
